support,itemsets
0.6766666666666666,"frozenset({'Travel_Impact', 'Emotional_Impact'})"
0.6366666666666667,"frozenset({'Travel_Impact', 'Support_From_Close'})"
0.6,"frozenset({'Travel_Impact', 'Health_Satisfaction'})"
0.5366666666666666,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact'})"
0.6333333333333333,"frozenset({'Travel_Impact', 'Support_From_Close', 'Emotional_Impact'})"
0.5966666666666667,"frozenset({'Travel_Impact', 'Health_Satisfaction', 'Emotional_Impact'})"
0.5566666666666666,"frozenset({'Health_Satisfaction', 'Travel_Impact', 'Support_From_Close'})"
0.5533333333333333,"frozenset({'Health_Satisfaction', 'Travel_Impact', 'Support_From_Close', 'Emotional_Impact'})"
0.5366666666666666,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close'})"
0.5333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Emotional_Impact'})"
0.4766666666666667,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Health_Satisfaction'})"
0.5333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Emotional_Impact'})"
0.4766666666666667,"frozenset({'Support_Satisfaction_Satisfied', 'Health_Satisfaction', 'Travel_Impact', 'Support_From_Close'})"
0.47333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Health_Satisfaction', 'Emotional_Impact'})"
0.47333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Emotional_Impact'})"
0.5866666666666667,"frozenset({'Smoked_Cigarettes', 'Support_From_Close'})"
0.5733333333333334,"frozenset({'Smoked_Cigarettes', 'Emotional_Impact'})"
0.49,"frozenset({'Travel_Impact', 'Smoked_Cigarettes'})"
0.49,"frozenset({'Smoked_Cigarettes', 'Health_Satisfaction'})"
0.4866666666666667,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes'})"
0.5433333333333333,"frozenset({'Smoked_Cigarettes', 'Support_From_Close', 'Emotional_Impact'})"
0.49,"frozenset({'Travel_Impact', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.46,"frozenset({'Travel_Impact', 'Smoked_Cigarettes', 'Support_From_Close'})"
0.43333333333333335,"frozenset({'Travel_Impact', 'Smoked_Cigarettes', 'Health_Satisfaction'})"
0.46,"frozenset({'Travel_Impact', 'Smoked_Cigarettes', 'Support_From_Close', 'Emotional_Impact'})"
0.43333333333333335,"frozenset({'Travel_Impact', 'Smoked_Cigarettes', 'Health_Satisfaction', 'Emotional_Impact'})"
0.4033333333333333,"frozenset({'Health_Satisfaction', 'Travel_Impact', 'Smoked_Cigarettes', 'Support_From_Close'})"
0.4033333333333333,"frozenset({'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.4866666666666667,"frozenset({'Smoked_Cigarettes', 'Health_Satisfaction', 'Emotional_Impact'})"
0.46,"frozenset({'Smoked_Cigarettes', 'Support_From_Close', 'Health_Satisfaction'})"
0.45666666666666667,"frozenset({'Smoked_Cigarettes', 'Support_From_Close', 'Health_Satisfaction', 'Emotional_Impact'})"
0.4866666666666667,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Support_From_Close'})"
0.44666666666666666,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.38,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Health_Satisfaction'})"
0.37333333333333335,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Smoked_Cigarettes'})"
0.44666666666666666,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Support_From_Close', 'Emotional_Impact'})"
0.38,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Support_From_Close', 'Health_Satisfaction'})"
0.37666666666666665,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Health_Satisfaction', 'Emotional_Impact'})"
0.37666666666666665,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.37333333333333335,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.37333333333333335,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Smoked_Cigarettes', 'Support_From_Close'})"
0.3333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Smoked_Cigarettes', 'Health_Satisfaction'})"
0.37333333333333335,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.3333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.3333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes'})"
0.3333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.6233333333333333,"frozenset({'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.5833333333333334,"frozenset({'Coping_Strategy_Badly', 'Support_From_Close'})"
0.5666666666666667,"frozenset({'Travel_Impact', 'Coping_Strategy_Badly'})"
0.43666666666666665,"frozenset({'Smoked_Cigarettes', 'Coping_Strategy_Badly'})"
0.6066666666666667,"frozenset({'Coping_Strategy_Badly', 'Health_Satisfaction'})"
0.49,"frozenset({'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly'})"
0.58,"frozenset({'Coping_Strategy_Badly', 'Support_From_Close', 'Emotional_Impact'})"
0.5633333333333334,"frozenset({'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly'})"
0.56,"frozenset({'Coping_Strategy_Badly', 'Support_From_Close', 'Health_Satisfaction', 'Emotional_Impact'})"
0.5633333333333334,"frozenset({'Travel_Impact', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.5266666666666666,"frozenset({'Travel_Impact', 'Coping_Strategy_Badly', 'Support_From_Close'})"
0.5466666666666666,"frozenset({'Travel_Impact', 'Coping_Strategy_Badly', 'Health_Satisfaction'})"
0.5233333333333333,"frozenset({'Travel_Impact', 'Coping_Strategy_Badly', 'Support_From_Close', 'Emotional_Impact'})"
0.5066666666666667,"frozenset({'Health_Satisfaction', 'Travel_Impact', 'Coping_Strategy_Badly', 'Support_From_Close'})"
0.5033333333333333,"frozenset({'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.5433333333333333,"frozenset({'Travel_Impact', 'Coping_Strategy_Badly', 'Health_Satisfaction', 'Emotional_Impact'})"
0.43666666666666665,"frozenset({'Coping_Strategy_Badly', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.41,"frozenset({'Travel_Impact', 'Smoked_Cigarettes', 'Coping_Strategy_Badly'})"
0.41,"frozenset({'Smoked_Cigarettes', 'Support_From_Close', 'Coping_Strategy_Badly'})"
0.42333333333333334,"frozenset({'Smoked_Cigarettes', 'Health_Satisfaction', 'Coping_Strategy_Badly'})"
0.3333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Coping_Strategy_Badly'})"
0.41,"frozenset({'Travel_Impact', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.39666666666666667,"frozenset({'Travel_Impact', 'Smoked_Cigarettes', 'Health_Satisfaction', 'Coping_Strategy_Badly'})"
0.39666666666666667,"frozenset({'Travel_Impact', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.41,"frozenset({'Coping_Strategy_Badly', 'Smoked_Cigarettes', 'Support_From_Close', 'Emotional_Impact'})"
0.38333333333333336,"frozenset({'Travel_Impact', 'Smoked_Cigarettes', 'Support_From_Close', 'Coping_Strategy_Badly'})"
0.39666666666666667,"frozenset({'Smoked_Cigarettes', 'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly'})"
0.38333333333333336,"frozenset({'Travel_Impact', 'Support_From_Close', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.37,"frozenset({'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly'})"
0.37,"frozenset({'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.39666666666666667,"frozenset({'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.42333333333333334,"frozenset({'Coping_Strategy_Badly', 'Smoked_Cigarettes', 'Health_Satisfaction', 'Emotional_Impact'})"
0.3333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Support_From_Close', 'Coping_Strategy_Badly'})"
0.3333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.33,"frozenset({'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Health_Satisfaction', 'Coping_Strategy_Badly'})"
0.31,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Smoked_Cigarettes', 'Coping_Strategy_Badly'})"
0.3333333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.33,"frozenset({'Support_Satisfaction_Satisfied', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.33,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly'})"
0.33,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.31,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.31,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Smoked_Cigarettes', 'Coping_Strategy_Badly'})"
0.30666666666666664,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly'})"
0.31,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.30666666666666664,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.30666666666666664,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly'})"
0.30666666666666664,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.6033333333333334,"frozenset({'Coping_Strategy_Badly', 'Health_Satisfaction', 'Emotional_Impact'})"
0.49,"frozenset({'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly', 'Support_From_Close'})"
0.4866666666666667,"frozenset({'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.48333333333333334,"frozenset({'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly', 'Health_Satisfaction'})"
0.44,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Coping_Strategy_Badly'})"
0.4866666666666667,"frozenset({'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly', 'Support_From_Close', 'Emotional_Impact'})"
0.48333333333333334,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly'})"
0.48,"frozenset({'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly', 'Health_Satisfaction', 'Emotional_Impact'})"
0.48,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.44,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Coping_Strategy_Badly', 'Support_From_Close'})"
0.43666666666666665,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.43333333333333335,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Coping_Strategy_Badly', 'Health_Satisfaction'})"
0.43666666666666665,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.43333333333333335,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly'})"
0.43,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Health_Satisfaction', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.43,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.5466666666666666,"frozenset({'Self_Care_No_problems', 'Support_From_Close'})"
0.48333333333333334,"frozenset({'Self_Care_No_problems', 'Emotional_Impact'})"
0.3433333333333333,"frozenset({'Self_Care_No_problems', 'Smoked_Cigarettes'})"
0.31666666666666665,"frozenset({'Self_Care_No_problems', 'Travel_Impact'})"
0.25333333333333335,"frozenset({'Self_Care_No_problems', 'Coping_Strategy_Badly'})"
0.48,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied'})"
0.33,"frozenset({'Self_Care_No_problems', 'Health_Satisfaction'})"
0.45666666666666667,"frozenset({'Self_Care_No_problems', 'Support_From_Close', 'Emotional_Impact'})"
0.3233333333333333,"frozenset({'Self_Care_No_problems', 'Smoked_Cigarettes', 'Support_From_Close'})"
0.29,"frozenset({'Self_Care_No_problems', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.27,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes'})"
0.28,"frozenset({'Self_Care_No_problems', 'Smoked_Cigarettes', 'Support_From_Close', 'Emotional_Impact'})"
0.27,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Support_From_Close'})"
0.23,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.23,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Smoked_Cigarettes', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.31666666666666665,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Emotional_Impact'})"
0.2966666666666667,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Support_From_Close'})"
0.21666666666666667,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Smoked_Cigarettes'})"
0.25333333333333335,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Travel_Impact'})"
0.25,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Health_Satisfaction'})"
0.2966666666666667,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Support_From_Close', 'Emotional_Impact'})"
0.21666666666666667,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Smoked_Cigarettes', 'Emotional_Impact'})"
0.20666666666666667,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Smoked_Cigarettes', 'Support_From_Close'})"
0.20666666666666667,"frozenset({'Travel_Impact', 'Support_From_Close', 'Smoked_Cigarettes', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.25333333333333335,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close'})"
0.25333333333333335,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Emotional_Impact'})"
0.25333333333333335,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.25,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Health_Satisfaction', 'Emotional_Impact'})"
0.23,"frozenset({'Self_Care_No_problems', 'Health_Satisfaction', 'Travel_Impact', 'Support_From_Close'})"
0.2,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Health_Satisfaction'})"
0.23,"frozenset({'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.2,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Health_Satisfaction', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.2,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Self_Care_No_problems'})"
0.2,"frozenset({'Support_Satisfaction_Satisfied', 'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.25333333333333335,"frozenset({'Self_Care_No_problems', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.23666666666666666,"frozenset({'Self_Care_No_problems', 'Coping_Strategy_Badly', 'Support_From_Close'})"
0.21333333333333335,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Coping_Strategy_Badly'})"
0.24666666666666667,"frozenset({'Self_Care_No_problems', 'Coping_Strategy_Badly', 'Health_Satisfaction'})"
0.2,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly'})"
0.23666666666666666,"frozenset({'Self_Care_No_problems', 'Coping_Strategy_Badly', 'Support_From_Close', 'Emotional_Impact'})"
0.23,"frozenset({'Self_Care_No_problems', 'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly'})"
0.23,"frozenset({'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.21333333333333335,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.20666666666666667,"frozenset({'Self_Care_No_problems', 'Travel_Impact', 'Coping_Strategy_Badly', 'Health_Satisfaction'})"
0.20666666666666667,"frozenset({'Travel_Impact', 'Health_Satisfaction', 'Coping_Strategy_Badly', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.24666666666666667,"frozenset({'Self_Care_No_problems', 'Coping_Strategy_Badly', 'Health_Satisfaction', 'Emotional_Impact'})"
0.2,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly', 'Support_From_Close'})"
0.2,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly', 'Health_Satisfaction'})"
0.2,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.2,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly', 'Self_Care_No_problems'})"
0.2,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Coping_Strategy_Badly', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.2,"frozenset({'Support_Satisfaction_Satisfied', 'Health_Satisfaction', 'Coping_Strategy_Badly', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.2,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Health_Satisfaction', 'Coping_Strategy_Badly', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.48,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Support_From_Close'})"
0.4,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Emotional_Impact'})"
0.4,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Emotional_Impact'})"
0.3233333333333333,"frozenset({'Self_Care_No_problems', 'Health_Satisfaction', 'Emotional_Impact'})"
0.30666666666666664,"frozenset({'Self_Care_No_problems', 'Support_From_Close', 'Health_Satisfaction'})"
0.26666666666666666,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Health_Satisfaction'})"
0.21333333333333335,"frozenset({'Self_Care_No_problems', 'Smoked_Cigarettes', 'Health_Satisfaction'})"
0.30333333333333334,"frozenset({'Self_Care_No_problems', 'Support_From_Close', 'Health_Satisfaction', 'Emotional_Impact'})"
0.26666666666666666,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Health_Satisfaction'})"
0.2633333333333333,"frozenset({'Self_Care_No_problems', 'Support_Satisfaction_Satisfied', 'Health_Satisfaction', 'Emotional_Impact'})"
0.2633333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Support_From_Close', 'Health_Satisfaction', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.21,"frozenset({'Self_Care_No_problems', 'Smoked_Cigarettes', 'Health_Satisfaction', 'Emotional_Impact'})"
0.20333333333333334,"frozenset({'Self_Care_No_problems', 'Smoked_Cigarettes', 'Support_From_Close', 'Health_Satisfaction'})"
0.2,"frozenset({'Support_From_Close', 'Health_Satisfaction', 'Smoked_Cigarettes', 'Emotional_Impact', 'Self_Care_No_problems'})"
0.5633333333333334,"frozenset({'Chemotherapy', 'Emotional_Impact'})"
0.5466666666666666,"frozenset({'Chemotherapy', 'Support_From_Close'})"
0.49666666666666665,"frozenset({'Chemotherapy', 'Travel_Impact'})"
0.4666666666666667,"frozenset({'Chemotherapy', 'Coping_Strategy_Badly'})"
0.43333333333333335,"frozenset({'Chemotherapy', 'Smoked_Cigarettes'})"
0.2866666666666667,"frozenset({'Self_Care_No_problems', 'Chemotherapy'})"
0.5133333333333333,"frozenset({'Chemotherapy', 'Health_Satisfaction'})"
0.4533333333333333,"frozenset({'Support_Satisfaction_Satisfied', 'Chemotherapy'})"
0.53,"frozenset({'Chemotherapy', 'Support_From_Close', 'Emotional_Impact'})"
0.49666666666666665,"frozenset({'Chemotherapy', 'Travel_Impact', 'Emotional_Impact'})"
0.4633333333333333,"frozenset({'Chemotherapy', 'Travel_Impact', 'Support_From_Close'})"
0.4533333333333333,"frozenset({'Chemotherapy', 'Travel_Impact', 'Health_Satisfaction'})"
0.4633333333333333,"frozenset({'Chemotherapy', 'Travel_Impact', 'Support_From_Close', 'Emotional_Impact'})"
0.4533333333333333,"frozenset({'Chemotherapy', 'Travel_Impact', 'Health_Satisfaction', 'Emotional_Impact'})"
0.42,"frozenset({'Chemotherapy', 'Health_Satisfaction', 'Travel_Impact', 'Support_From_Close'})"
0.42,"frozenset({'Travel_Impact', 'Support_From_Close', 'Health_Satisfaction', 'Emotional_Impact', 'Chemotherapy'})"
0.4666666666666667,"frozenset({'Chemotherapy', 'Coping_Strategy_Badly', 'Emotional_Impact'})"
0.43666666666666665,"frozenset({'Chemotherapy', 'Coping_Strategy_Badly', 'Support_From_Close'})"
